Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-11-08,Vancouver Canucks,6,Ottawa Senators,4,,13351,2:22,
2022-11-08,St. Louis Blues,1,Philadelphia Flyers,5,,15228,2:25,
2022-11-08,Nashville Predators,1,Seattle Kraken,5,,17151,2:18,
2022-11-08,Edmonton Oilers,3,Tampa Bay Lightning,2,,19092,2:40,
2022-11-08,Vegas Golden Knights,4,Toronto Maple Leafs,3,OT,18459,2:22,
2022-11-08,Dallas Stars,1,Winnipeg Jets,5,,13847,2:19,
2022-11-09,Minnesota Wild,4,Anaheim Ducks,1,,14803,2:30,
2022-11-09,Carolina Hurricanes,0,Florida Panthers,3,,13225,2:25,
2022-11-09,Vancouver Canucks,2,Montreal Canadiens,5,,21105,2:24,
2022-11-09,Pittsburgh Penguins,4,Washington Capitals,1,,18573,2:25,
2022-11-10,Calgary Flames,1,Boston Bruins,3,,17850,2:28,
2022-11-10,Vegas Golden Knights,7,Buffalo Sabres,4,,15757,2:37,
2022-11-10,Edmonton Oilers,2,Carolina Hurricanes,7,,18118,2:22,
2022-11-10,Philadelphia Flyers,2,Columbus Blue Jackets,5,,15490,2:37,
2022-11-10,Nashville Predators,3,Colorado Avalanche,5,,18134,2:34,
2022-11-10,New York Rangers,8,Detroit Red Wings,2,,18869,2:20,
2022-11-10,Chicago Blackhawks,1,Los Angeles Kings,2,OT,16443,2:33,
2022-11-10,Ottawa Senators,3,New Jersey Devils,4,OT,13806,2:35,
2022-11-10,Arizona Coyotes,2,New York Islanders,0,,17255,2:28,
2022-11-10,San Jose Sharks,3,St. Louis Blues,5,,18096,2:24,
2022-11-11,San Jose Sharks,5,Dallas Stars,4,,18532,2:31,
2022-11-11,Minnesota Wild,1,Seattle Kraken,0,,17151,2:22,
2022-11-11,Pittsburgh Penguins,4,Toronto Maple Leafs,2,,19229,2:19,
2022-11-11,Tampa Bay Lightning,1,Washington Capitals,5,,18573,2:29,
2022-11-12,Chicago Blackhawks,3,Anaheim Ducks,2,,15184,2:32,
2022-11-12,Boston Bruins,3,Buffalo Sabres,1,,19070,2:28,
2022-11-12,Winnipeg Jets,2,Calgary Flames,3,,18501,2:33,
2022-11-12,Carolina Hurricanes,1,Colorado Avalanche,4,,18127,2:21,
2022-11-12,Edmonton Oilers,4,Florida Panthers,2,,16579,2:24,
2022-11-12,Detroit Red Wings,3,Los Angeles Kings,4,,18230,2:26,
2022-11-12,Pittsburgh Penguins,4,Montreal Canadiens,5,OT,21105,2:35,
2022-11-12,Arizona Coyotes,2,New Jersey Devils,4,,16514,2:30,
2022-11-12,New York Rangers,1,Nashville Predators,2,,17169,2:25,
2022-11-12,Columbus Blue Jackets,3,New York Islanders,4,OT,17255,2:26,
2022-11-12,Ottawa Senators,4,Philadelphia Flyers,1,,16912,2:28,
2022-11-12,Vancouver Canucks,2,Toronto Maple Leafs,3,,19497,2:18,
2022-11-12,St. Louis Blues,3,Vegas Golden Knights,2,,18343,2:28,
2022-11-13,Vancouver Canucks,2,Boston Bruins,5,,17850,2:30,
2022-11-13,San Jose Sharks,3,Minnesota Wild,2,SO,17105,2:34,
2022-11-13,Arizona Coyotes,1,New York Rangers,4,,18006,2:25,
2022-11-13,Dallas Stars,5,Philadelphia Flyers,1,,16898,2:24,
2022-11-13,Winnipeg Jets,3,Seattle Kraken,2,OT,17151,2:28,
2022-11-13,Washington Capitals,3,Tampa Bay Lightning,6,,19092,2:41,
2022-11-14,Los Angeles Kings,5,Calgary Flames,6,,17308,2:32,
2022-11-14,Carolina Hurricanes,3,Chicago Blackhawks,0,,15676,2:23,
2022-11-14,St. Louis Blues,3,Colorado Avalanche,2,,18104,2:30,
2022-11-14,New York Islanders,4,Ottawa Senators,2,,13408,2:28,
2022-11-15,Detroit Red Wings,2,Anaheim Ducks,3,OT,15198,2:34,
2022-11-15,Vancouver Canucks,5,Buffalo Sabres,4,,11130,2:27,
2022-11-15,Philadelphia Flyers,4,Columbus Blue Jackets,5,OT,15713,2:34,
2022-11-15,Washington Capitals,2,Florida Panthers,5,,13813,2:29,
2022-11-15,New Jersey Devils,5,Montreal Canadiens,1,,20753,2:32,
2022-11-15,Minnesota Wild,1,Nashville Predators,2,,17159,2:32,
2022-11-15,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,17035,2:21,
2022-11-15,Dallas Stars,4,Tampa Bay Lightning,5,OT,19092,2:49,
